date,New_Cases,New_Recovered,New_Deaths,Province,Population
2020-03-03,0,0,0,Riau,6074100
2020-03-04,0,0,0,Riau,6074100
2020-03-05,0,0,0,Riau,6074100
2020-03-05,0,0,1,DKI Jakarta,10846145
2020-03-06,0,0,0,DKI Jakarta,10846145
2020-03-06,0,0,0,Riau,6074100
2020-03-07,0,0,0,Banten,10722374
2020-03-07,0,0,0,Jawa Barat,45161325
2020-03-07,0,0,0,Riau,6074100
2020-03-07,0,0,2,DKI Jakarta,10846145
2020-03-08,0,0,0,Jawa Barat,45161325
2020-03-08,0,0,0,DKI Jakarta,10846145
2020-03-08,0,0,0,Riau,6074100
2020-03-09,0,0,0,Banten,10722374
2020-03-09,0,0,0,Jawa Barat,45161325
2020-03-09,0,0,0,Jawa Tengah,36364072
2020-03-09,0,0,0,Riau,6074100
2020-03-09,0,0,1,DKI Jakarta,10846145
2020-03-10,0,8,0,Banten,10722374
2020-03-10,0,0,0,Jawa Barat,45161325
2020-03-10,0,0,0,DKI Jakarta,10846145
2020-03-10,0,0,0,Jawa Tengah,36364072
2020-03-10,0,0,0,Riau,6074100
2020-03-11,0,8,0,Banten,10722374
2020-03-11,0,0,0,DKI Jakarta,10846145
2020-03-11,0,0,0,Riau,6074100
2020-03-11,0,0,0,Sulawesi Tenggara,2635461
2020-03-11,0,0,1,Jawa Barat,45161325
2020-03-12,0,0,0,Bali,4216171
2020-03-12,0,0,0,Jawa Tengah,36364072
2020-03-12,0,0,0,Riau,6074100
2020-03-12,0,0,0,Sulawesi Tenggara,2635461
2020-03-12,0,2,1,Banten,10722374
2020-03-13,0,0,0,Bali,4216171
2020-03-13,0,0,0,Jawa Tengah,36364072
2020-03-13,0,0,0,Riau,6074100
2020-03-13,0,0,0,Sulawesi Tenggara,2635461
2020-03-14,0,0,0,Bali,4216171
2020-03-14,0,0,0,Jawa Barat,45161325
2020-03-14,0,0,0,Riau,6074100
2020-03-14,0,0,0,Sulawesi Tenggara,2635461
2020-03-15,0,0,0,Bali,4216171
2020-03-15,0,2,0,Jawa Barat,45161325
2020-03-15,0,0,0,Riau,6074100
2020-03-15,0,0,0,Sulawesi Tenggara,2635461
2020-03-16,0,0,0,Bali,4216171
2020-03-16,0,2,0,Jawa Barat,45161325
2020-03-16,0,0,0,Riau,6074100
2020-03-17,0,0,0,Bali,4216171
2020-03-17,0,0,0,Riau,6074100
2020-03-17,0,0,0,Sulawesi Tenggara,2635461
2020-03-17,0,0,0,Daerah Istimewa Yogyakarta,3631015
2020-03-17,0,3,1,Banten,10722374
2020-03-18,0,0,0,Bali,4216171
2020-03-18,0,0,0,Kalimantan Timur,3552191
2020-03-18,0,0,0,Riau,6074100
2020-03-18,0,0,0,Sulawesi Tenggara,2635461
2020-03-18,0,0,0,Sumatera Utara,14874889
2020-03-18,0,0,0,Daerah Istimewa Yogyakarta,3631015
2020-03-18,0,1,1,Banten,10722374
2020-03-19,0,0,0,Kalimantan Timur,3552191
2020-03-19,0,0,0,Riau,6074100
2020-03-19,0,0,0,Sulawesi Tenggara,2635461
2020-03-19,0,0,0,Sumatera Utara,14874889
2020-03-19,0,0,0,Daerah Istimewa Yogyakarta,3631015
2020-03-19,0,3,1,Banten,10722374
2020-03-20,0,0,0,Bali,4216171
2020-03-20,0,0,0,Kalimantan Timur,3552191
2020-03-20,0,0,0,Kepulauan Riau,1929400
2020-03-20,0,0,0,Riau,6074100
2020-03-20,0,0,0,Sulawesi Tenggara,2635461
2020-03-20,0,0,0,Sulawesi Selatan,9426885
2020-03-20,0,0,0,Sumatera Utara,14874889
2020-03-20,0,3,3,Banten,10722374
2020-03-21,0,0,0,Bali,4216171
2020-03-21,0,2,0,Banten,10722374
2020-03-21,0,0,0,Jambi,3493357
2020-03-21,0,0,0,Kalimantan Timur,3552191
2020-03-21,0,0,0,Kepulauan Riau,1929400
2020-03-21,0,0,0,Riau,6074100
2020-03-21,0,0,0,Sulawesi Tenggara,2635461
2020-03-21,0,0,0,Sulawesi Selatan,9426885
2020-03-21,0,0,0,Sumatera Utara,14874889
2020-03-21,0,0,0,Daerah Istimewa Yogyakarta,3631015
2020-03-22,0,0,0,Bali,4216171
2020-03-22,0,0,0,Jambi,3493357
2020-03-22,0,0,0,Kalimantan Timur,3552191
2020-03-22,0,0,0,Kepulauan Riau,1929400
2020-03-22,0,0,0,Riau,6074100
2020-03-22,0,0,0,Sulawesi Tenggara,2635461
2020-03-22,0,0,0,Sulawesi Selatan,9426885
2020-03-22,0,0,0,Sumatera Utara,14874889
2020-03-22,0,0,0,Daerah Istimewa Yogyakarta,3631015
2020-03-22,0,0,2,Banten,10722374
2020-03-23,0,0,0,Bali,4216171
2020-03-23,0,0,0,Jambi,3493357
2020-03-23,0,0,0,DKI Jakarta,10846145
2020-03-23,0,0,0,Kepulauan Riau,1929400
2020-03-23,0,0,0,Maluku,1847097
2020-03-23,0,0,0,Papua,4340348
2020-03-23,0,0,0,Riau,6074100
2020-03-23,0,0,0,Sulawesi Tenggara,2635461
2020-03-23,0,0,0,Sumatera Utara,14874889
2020-03-23,0,0,1,Sulawesi Selatan,9426885
2020-03-23,0,0,1,Daerah Istimewa Yogyakarta,3631015
2020-03-23,0,3,2,Banten,10722374
2020-03-24,0,0,0,Bali,4216171
2020-03-24,0,0,0,Jambi,3493357
2020-03-24,0,0,0,Kalimantan Timur,3552191
2020-03-24,0,0,0,Kepulauan Riau,1929400
2020-03-24,0,0,0,Maluku,1847097
2020-03-24,0,0,0,Maluku Utara,1307803
2020-03-24,0,0,0,Papua,4340348
2020-03-24,0,0,0,Riau,6074100
2020-03-24,0,0,0,Sulawesi Tenggara,2635461
2020-03-24,0,0,0,Sumatera Selatan,8217551
2020-03-24,0,0,0,Sumatera Utara,14874889
2020-03-24,0,0,0,Daerah Istimewa Yogyakarta,3631015
2020-03-24,0,3,1,Banten,10722374
2020-03-25,0,0,0,Bali,4216171
2020-03-25,0,0,0,Jambi,3493357
2020-03-25,0,0,0,Kalimantan Timur,3552191
2020-03-25,0,0,0,Kepulauan Riau,1929400
2020-03-25,0,0,0,Maluku,1847097
2020-03-25,0,0,0,Maluku Utara,1307803
2020-03-25,0,0,0,Papua,4340348
2020-03-25,0,0,0,Riau,6074100
2020-03-25,0,0,0,Sulawesi Tenggara,2635461
2020-03-25,0,0,0,Sumatera Selatan,8217551
2020-03-25,0,0,0,Sumatera Utara,14874889
